word,counts,remove
protester,55,
qu'ils,55,
set,55,
slogans,55,
sn0,55,
wtf,55,
ant7ar,54,
aucune,54,
civil,54,
crise,54,
google,54,
lettre,54,
monaeltahawy,54,
souihli,54,
strike,54,
3br,53,
3rby,53,
alqm3,53,
control,53,
curfew,53,
générale,53,
jdyd,53,
kma,53,
net,53,
peux,53,
phone,53,
takes,53,
viens,53,
alastai,52,
algérie,52,
blocked,52,
blogueurs,52,
confirmation,52,
confirmé,52,
fight,52,
ltwns,52,
massacres,52,
mois,52,
pls,52,
tonight,52,
tunisiennes,52,
voix,52,
3lyh,51,
7rb,51,
allez,51,
alqdr,51,
anti,51,
crisis,51,
crois,51,
droits,51,
information,51,
liveblog,51,
military,51,
oli2be,51,
parlent,51,
taking,51,
western,51,
ystjyb,51,
aliyn,50,
bbc.in,50,
blood,50,
care,50,
check,50,
cont,50,
courage,50,
fear,50,
heure,50,
itélé,50,
l'ordre,50,
los,50,
lys,50,
mettre,50,
ministère,50,
mnt,50,
prend,50,
reported,50,
sba7,50,
soniabess,50,
spécial,50,
war,50,
west,50,
a7na,49,
al3alm,49,
dar,49,
dehors,49,
gas,49,
ha,49,
jmy3,49,
lemondefr,49,
moncef,49,
morjane,49,
mqr,49,
official,49,
plein,49,
propagande,49,
tear,49,
um,49,
abn,48,
activist,48,
al7zb,48,
allah,48,
alw3wb,48,
attack,48,
ban,48,
citizens,48,
citoyens,48,
dailymotion,48,
demonstration,48,
demonstrators,48,
landed,48,
leader,48,
lieu,48,
mednine,48,
mitterrand,48,
prendre,48,
respect,48,
rues,48,
rumeurs,48,
snipers,48,
swr,48,
t7t,48,
walidsa3d,48,
ala3tdaq,47,
altdamn,47,
anon,47,
bl,47,
blech_klem,47,
capitale,47,
dysmbr,47,
human,47,
injured,47,
love,47,
nombreux,47,
rue89,47,
selim_,47,
sidibouzidhttp,47,
started,47,
talking,47,
y'a,47,
404samitunis,46,
alkwj0,46,
année,46,
beaucoup,46,
calme,46,
cnn,46,
croire,46,
côté,46,
embassy,46,
entrain,46,
gaza,46,
homme,46,
itele,46,
kairouan,46,
ki,46,
klm0,46,
nationale,46,
obama,46,
partie,46,
passé,46,
protect,46,
s'en,46,
vais,46,
ykwn,46,
allyl0,45,
alwar3,45,
arabe,45,
bd,45,
bikolli7azm,45,
blessés,45,
cons,45,
emeutes,45,
fla,45,
interview,45,
life,45,
mbark,45,
morning,45,
partir,45,
qfs0,45,
seul,45,
sofien_chourabi,45,
tard,45,
3ala,44,
airport,44,
aljhwy,44,
altaryk,44,
amid,44,
celui,44,
changement,44,
chaos,44,
dictators,44,
elabidine,44,
historique,44,
journée,44,
judevlad,44,
malta,44,
mezri,44,
mwq3,44,
station,44,
veulent,44,
vois,44,
wzar0,44,
yalhwa,44,
13h,43,
3dd,43,
ala7rar,43,
alwtn,43,
bin,43,
dear,43,
démission,43,
firaskhan,43,
head,43,
ilk,43,
jobs,43,
journalist,43,
l'émission,43,
leave,43,
loin,43,
lyla,43,
materi,43,
mqal,43,
rwytrz,43,
tag,43,
twnsy0,43,
zizoo,43,
afraid,42,
akbr,42,
albar70,42,
aldwl0,42,
arrêter,42,
bois,42,
calling,42,
cité,42,
coming,42,
cours,42,
economic,42,
etre,42,
familles,42,
foot,42,
found,42,
fyha,42,
global,42,
grave,42,
heard,42,
kyf,42,
l'intérieur,42,
law,42,
medias,42,
mirror,42,
mjmw30,42,
pictures,42,
prayers,42,
savoir,42,
tounes,42,
TRUE,42,
tweeting,42,
ur1,42,
yeux,42,
aldyktatwr,41,
alert,41,
alfrnsy0,41,
aljza5r,41,
almwatnyn,41,
anymore,41,
aucun,41,
balrsas,41,
bcp,41,
bouge,41,
civile,41,
cyber,41,
death,41,
dh,41,
défendre,41,
dégage,41,
freeazyz,41,
iranelection,41,
jasminrevolution,41,
maroc,41,
menzel,41,
min,41,
n7n,41,
propaganda,41,
proxy,41,
